CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AggregateRate,Year
645,Spain,Male,,8,113755.78,2,1,0,,1,3.36,2023
822,France,Male,50.0,7,0.0,2,1,1,,0,2.94,2023
501,France,Male,44.0,4,142051.07,2,0,1,,0,1.68,2023
684,France,Male,27.0,2,134603.88,1,1,1,,0,0.84,2023
528,France,Male,31.0,6,102016.72,2,0,0,,0,2.52,2023
497,Spain,Male,24.0,3,0.0,2,1,0,,0,1.26,2023
616,Germany,Male,45.0,3,143129.41,2,0,1,,0,1.26,2023
653,Germany,Male,58.0,1,132602.88,1,1,0,,1,0.42,2023
587,Spain,Male,45.0,6,0.0,1,0,0,,0,2.52,2023
732,France,Male,41.0,8,0.0,2,1,1,,0,3.36,2023
669,France,Male,46.0,3,0.0,2,0,1,,0,1.26,2023
577,France,Male,25.0,3,0.0,2,0,1,,0,1.26,2023
756,Germany,Male,36.0,2,136815.64,1,1,1,,0,0.84,2023
571,France,Male,44.0,9,0.0,2,0,0,,0,3.78,2023
411,France,Male,29.0,0,59697.17,2,1,1,,0,0.0,2023
533,France,Male,36.0,7,85311.7,1,0,1,,0,2.94,2023
553,Germany,Male,41.0,9,110112.54,2,0,0,,0,3.78,2023
490,Spain,Male,31.0,3,145260.23,1,0,1,,0,1.26,2023
804,Spain,Male,33.0,7,76548.6,1,0,1,,0,2.94,2023
850,France,Male,36.0,7,0.0,1,1,1,,0,2.94,2023
582,Germany,Male,41.0,6,70349.48,2,0,1,,0,2.52,2023
472,Spain,Male,40.0,4,0.0,1,1,0,,0,1.68,2023
550,Germany,Male,38.0,2,103391.38,1,0,1,,0,0.84,2023
698,Germany,Male,44.0,10,116363.37,2,1,0,,0,4.2,2023
585,Germany,Male,36.0,5,146050.97,2,0,0,,0,2.1,2023
655,Germany,Male,41.0,8,125561.97,1,0,0,,1,3.36,2023
601,Germany,Male,42.0,1,98495.72,1,1,0,,1,0.42,2023
619,France,Male,43.0,1,125211.92,1,1,1,,0,0.42,2023
656,France,Male,45.0,5,127864.4,1,1,0,,0,2.1,2023
725,Germany,Male,19.0,0,75888.2,1,0,0,,0,0.0,2023
614,France,Male,51.0,4,40685.92,1,1,1,,0,1.68,2023
742,Germany,Male,35.0,5,136857.0,1,0,0,,0,2.1,2023
555,Spain,Male,33.0,1,56084.69,2,0,0,,0,0.42,2023
684,Spain,Male,56.0,8,78707.16,1,1,1,,0,3.36,2023
603,Germany,Male,26.0,4,109166.37,1,1,1,,0,1.68,2023
735,Germany,Male,43.0,10,123180.01,2,1,1,,0,4.2,2023
738,Germany,Male,58.0,2,133745.44,4,1,0,,1,0.84,2023
813,France,Male,29.0,6,0.0,1,1,0,,0,2.52,2023
519,France,Male,36.0,9,0.0,2,0,1,,0,3.78,2023
664,France,Male,55.0,8,0.0,2,1,1,,0,3.36,2023
757,Spain,Male,,5,77253.22,1,0,1,,0,2.1,2023
750,Spain,Male,22.0,3,121681.82,1,1,0,,1,1.26,2023
729,France,Male,30.0,9,0.0,2,1,0,,0,3.78,2023
808,France,Male,45.0,7,118626.55,2,1,0,,0,2.94,2023
769,France,Male,29.0,8,0.0,2,1,1,,0,3.36,2023
730,Spain,Male,42.0,4,0.0,2,0,1,,0,1.68,2023
515,Spain,Male,35.0,10,176273.95,1,0,1,,0,4.2,2023
773,Spain,Male,41.0,9,102827.44,1,0,1,,0,3.78,2023
814,Germany,Male,29.0,8,97086.4,2,1,1,,0,3.36,2023
710,Spain,Male,22.0,8,0.0,2,0,0,,0,3.36,2023
413,France,Male,,9,0.0,2,0,0,,0,3.78,2023
738,France,Male,31.0,9,82674.15,1,1,0,,0,3.78,2023
528,Spain,Male,36.0,7,0.0,2,1,0,,0,2.94,2023
582,Germany,Male,32.0,1,88938.62,1,1,1,,0,0.42,2023
605,Spain,Male,33.0,5,150092.8,1,0,0,,0,2.1,2023
479,Germany,Male,35.0,9,92833.89,1,1,0,,1,3.78,2023
685,Germany,Male,30.0,3,90536.81,1,0,1,,0,1.26,2023
538,Germany,Male,39.0,7,108055.1,2,1,0,,0,2.94,2023
562,France,Male,42.0,2,100238.35,1,0,0,,0,0.84,2023
675,Spain,Male,36.0,9,106190.55,1,0,1,,0,3.78,2023
721,Germany,Male,28.0,9,154475.54,2,0,1,,1,3.78,2023
699,Germany,Male,34.0,4,185173.81,2,1,0,,0,1.68,2023
828,France,Male,34.0,8,129433.34,2,0,0,,0,3.36,2023
674,Spain,Male,39.0,6,120193.42,1,0,0,,0,2.52,2023
432,France,Male,42.0,9,152603.45,1,1,0,,1,3.78,2023
625,Germany,Male,56.0,0,148507.24,1,1,0,,1,0.0,2023
770,France,Male,24.0,9,101827.07,1,1,0,,0,3.78,2023
687,France,Male,38.0,9,122570.87,1,1,1,,0,3.78,2023
686,France,Male,25.0,1,0.0,2,0,1,,0,0.42,2023
789,Germany,Male,39.0,7,124828.46,2,1,1,,0,2.94,2023
637,France,Male,40.0,2,133463.1,1,0,1,,0,0.84,2023
756,Germany,Male,44.0,10,137452.09,1,1,0,,0,4.2,2023
663,France,Male,34.0,7,0.0,2,1,1,,0,2.94,2023
793,Spain,Male,52.0,2,0.0,1,1,0,,1,0.84,2023
650,France,Male,37.0,5,106967.18,1,0,0,,0,2.1,2023
735,France,Male,44.0,9,120681.63,1,1,0,,0,3.78,2023
416,France,Male,32.0,0,0.0,2,0,1,,0,0.0,2023
716,Spain,Male,42.0,8,0.0,2,1,0,,0,3.36,2023
539,France,Male,37.0,2,127609.59,1,1,0,,0,0.84,2023
706,Spain,Male,57.0,7,0.0,1,1,0,,1,2.94,2023
684,France,Male,30.0,2,0.0,2,1,0,,0,0.84,2023
683,Spain,Male,29.0,0,133702.89,1,1,0,,1,0.0,2023
660,Germany,Male,31.0,9,125189.75,2,1,1,,0,3.78,2023
682,Germany,Male,24.0,9,57929.81,2,0,0,,0,3.78,2023
628,Germany,Male,27.0,5,95826.49,2,1,0,,0,2.1,2023
480,Germany,Male,44.0,10,129608.57,1,1,0,,1,4.2,2023
578,France,Male,30.0,4,169462.09,1,1,0,,0,1.68,2023
512,France,Male,40.0,5,0.0,2,1,1,,0,2.1,2023
606,Germany,Male,36.0,5,190479.48,2,0,0,,0,2.1,2023
510,France,Male,65.0,2,0.0,2,1,1,,0,0.84,2023
636,France,Male,42.0,2,0.0,2,1,1,,0,0.84,2023
514,France,Male,32.0,8,0.0,2,1,0,,0,3.36,2023
616,Spain,Male,30.0,5,0.0,2,0,1,,0,2.1,2023
479,France,Male,40.0,1,0.0,2,0,0,,0,0.42,2023
601,France,Male,32.0,8,93012.89,1,1,0,,0,3.36,2023
